file,title,location,date,caption
image_1.jpg,image_1,"Capri, Italy","September, 2023",Charlotte
image_10.jpg,image_10,"Dubrovnik, Croatia","October, 2023",Olivia
image_11.jpg,image_11,"Bishop, California","May, 2025",Danae
image_12.jpg,image_12,"Bishop, California","May, 2025",Danae
image_13.jpg,image_13,"Bishop, California","May, 2025",Danae and Stella
image_14.jpg,image_14,"UCSB, California","May, 2025",Ellie
image_15.jpg,image_15,"UCSB, California","May, 2025",Danae
image_16.jpg,image_16,"UCSB, California","May, 2025",Brianna
image_17.jpg,image_17,"UCSB, California","May, 2025","Baylin, Ellie, Brianna, Danae, and Sarah"
image_18.jpg,image_18,"UCSB, California","May, 2025",Brianna
image_19.jpg,image_19,"UCSB, California","May, 2025",Ellie
image_2.jpg,image_2,"Capri, Italy","September, 2023",Sofia
image_20.jpg,image_20,"UCSB, California","May, 2025",Danae
image_21.jpg,image_21,"UCSB, California","May, 2025",Baylin
image_22.jpg,image_22,"UCSB, California","May, 2025",Brianna
image_23.jpg,image_23,"UCSB, California","May, 2025",Brianna
image_24.jpg,image_24,"UCSB, California","May, 2025",Danae
image_25.jpg,image_25,"UCSB, California","May, 2025",Ellie
image_26.jpg,image_26,"UCSB, California","May, 2025",Baylin
image_27.jpg,image_27,"Goleta, California","June, 2025",Jeremy
image_28.jpg,image_28,"Goleta, California","June, 2025",Jeremy
image_29.jpg,image_29,"Goleta, California","June, 2025",Jeremy
image_3.jpg,image_3,"Capri, Italy","September, 2023",Charlotte and Sophia
image_30.jpg,image_30,"N_pali Coast, Kaua'I, Hawai'i","December, 2023",Cassidy and Wyatt
image_31.jpg,image_31,"Gaviota Wind Caves, California","May, 2024",Brianna
image_32.jpg,image_32,"Gaviota Wind Caves, California","May, 2024",Brianna
image_33.jpg,image_33,"Okavango Delta, Botswana","August, 2023",Caroline and Bek
image_34.jpg,image_34,"Coal Oil Point, California","May, 2025",Danae and Brianna
image_35.jpg,image_35,"Douglas Family Preserve, California","May, 2025",Olivia
image_36.jpg,image_36,"Douglas Family Preserve, California","May, 2025",Olivia
image_37.jpg,image_37,"Douglas Family Preserve, California","May, 2025",Olivia
image_38.jpg,image_38,"UCSB, California","May, 2025",Sarah
image_39.jpg,image_39,"Point Conception, California","December, 2025",Grace and Peppa Pig
image_4.jpg,image_4,"UCSB, California","May, 2025",Sarah and Reyna
image_5.jpg,image_5,"UCSB, California","May, 2025",Reyna
image_6.jpg,image_6,"UCSB, California","May, 2025",Sarah
image_7.jpg,image_7,"UCSB, California","May, 2025",Sarah
image_8.jpg,image_8,"UCSB, California","May, 2025",Sarah
image_9.jpg,image_9,"Dubrovnik, Croatia","October, 2023",Olivia
