file,title,location,date,caption
image_1.jpg,image_1,"Amboseli National Park, Kenya","August, 2023",Platalea alba (African Spoonbill)
image_10.JPG,image_10,"Paris, France","July, 2022",Eiffel Tower
image_11.jpg,image_11,"Amboseli National Park, Kenya","August, 2023",Loxodonta africana (African Bush Elephant)
image_12.jpg,image_12,"Amboseli National Park, Kenya","August, 2023",Loxodonta africana (African Bush Elephant)
image_13.jpg,image_13,"Amboseli National Park, Kenya","August, 2023",Loxodonta africana (African Bush Elephant)
image_14.jpg,image_14,"Amboseli National Park, Kenya","August, 2023",Loxodonta africana (African Bush Elephant)
image_16.jpg,image_16,"Amboseli National Park, Kenya","August, 2023",Loxodonta africana (African Bush Elephant)
image_17.jpg,image_17,"Maasai Mara National Reserve, Kenya","August, 2023",Panthera leo (Lion)
image_18.jpg,image_18,"Maasai Mara National Reserve, Kenya","August, 2023",Panthera leo (Lion)
image_19.jpg,image_19,"Maasai Mara National Reserve, Kenya","August, 2023",Giraffa tippelskirchi (Maasai Giraffe)
image_2.jpg,image_2,"Piggabeen, Australia","September, 2022",Macropus giganteus (Eastern Gray Kangaroo)
image_20.jpg,image_20,"Maasai Mara National Reserve, Kenya","August, 2023",Giraffa tippelskirchi (Maasai Giraffe)
image_21.jpg,image_21,"Amboseli National Park, Kenya","August, 2023",Phoenicopterus roseus (Greater Flamingo)
image_22.jpg,image_22,"Amboseli National Park, Kenya","August, 2023",Balearica regulorum (African Crowned Crane)
image_23.jpeg,image_23,"Grindelwald, Switzerland","June, 2022",Grindelwald
image_24.jpg,image_24,"Amboseli National Park, Kenya","August, 2023",Hippopotamus amphibius (Hippopotamus)
image_25.jpg,image_25,"Amboseli National Park, Kenya","August, 2023",Hippopotamus amphibius (Hippopotamus)
image_26.jpg,image_26,"Amboseli National Park, Kenya","August, 2023",Hippopotamus amphibius (Hippopotamus)
image_27.JPG,image_27,"Cinque Terre, Italy","June, 2022",Corniglia
image_28.JPG,image_28,"Cinque Terre, Italy","June, 2022",Riomaggiore
image_29.JPG,image_29,"Cinque Terre, Italy","June, 2022",Riomaggiore
image_3.jpg,image_3,"Maasai Mara National Reserve, Kenya","August, 2023",Equus quagga boehmi (Grant's Zebra)
image_30.JPG,image_30,"Cinque Terre, Italy","June, 2022",Manarola
image_31.jpg,image_31,"Maasai Mara National Reserve, Kenya","August, 2023",Lupulella mesomelas (Black-banned Jackal)
image_32.jpg,image_32,"Maasai Mara National Reserve, Kenya","August, 2023",Tragelaphus strepsiceros (Greater Kudu)
image_33.jpg,image_33,"Maasai Mara National Reserve, Kenya","August, 2023",Torgos tracheliotos (Lappet-faced Vulture)
image_34.jpg,image_34,"Maasai Mara National Reserve, Kenya","August, 2023",Panthera pardus pardus (African Leopard)
image_35.jpg,image_35,"Amboseli National Park, Kenya","August, 2023",Phoenicopterus roseus (Greater Flamingo)
image_36.jpg,image_36,"Maasai Mara National Reserve, Kenya","August, 2023",Panthera leo (Lion)
image_38.jpg,image_38,"Maasai Mara National Reserve, Kenya","August, 2023",Panthera leo (Lion)
image_39.jpg,image_39,"Maasai Mara National Reserve, Kenya","August, 2023",Panthera leo (Lion)
image_4.jpeg,image_4,"Berne, Switzerland","June, 2022",Aäre
image_40.JPG,image_40,"Rome, Italy","June, 2022",Colosseum
image_41.jpg,image_41,"Chobe River, Botswana","August, 2023",Mycteria ibis (Yellow-billed Stork)
image_42.JPG,image_42,"Coal Oil Point, Goleta, California","March, 2023",Coal Oil Point
image_43.jpg,image_43,"Campus Point, UCSB, California","January, 2022",Campus Point 
image_44.jpeg,image_44,"Appenzell, Switzerland","June, 2022",Saxer Lücke
image_45.jpeg,image_45,"Appenzell, Switzerland","June, 2022",Saxer Lücke
image_46.jpeg,image_46,"Appenzell, Switzerland","June, 2022",Saxer Lücke
image_47.png,image_47,"Ljubljana, Slovenia","August, 2022",Pre_eren Square
image_48.jpg,image_48,"Okavango Delta, Botswana","August, 2023",Crocuta crocuta (Spotted Hyena)
