start,end,title,short_title,type,organization,short,details,link,link_label
2020-06,,Graduated high school,,education,Reagan High School,,,,
2021-09,,"Started at University of California, Santa Barbara",Started at UCSB,education,UCSB (College of Creative Studies),,,,
2022-03,,American Association of Underwater Sciences (AAUS) scientific diver certification,Scientific diver certification,education,UCSB,,,,
2025-06,,"Graduated from University of California, Santa Barbara",Graduated from UCSB,education,UCSB (College of Creative Studies),,,,
2020-08,2021-08,Novex Innovations,,positions,"Winston-Salem, NC",,,,
2021-09,2026-03,Kuris Parasite Ecology Lab,,positions,UCSB,,,,
2022-06,2023-04,Reef Check California,,positions,California,,,,
2023-01,2025-08,Valentine Lab,,positions,UCSB,,,,
2024-01,2024-03,Ecological Modeling (Teaching Assistant),Ecological Modeling,positions,UCSB,,,,
2024-06,2024-10,Caselle Lab / Partnership for Interdisciplinary Studies of Coastal Oceans (PISCO),Caselle Lab (PISCO),positions,UCSB,,,,
2024-09,present,Stier Ocean Recoveries Lab,,positions,UCSB,,,,
2025-03,2025-04,Environmental Media Production,,positions,UCSB,,,,
2025-08,2026-01,San Onofre Nuclear Generating Station (SONGS) Mitigation Monitoring Program,SONGS Monitoring Program,positions,UCSB,,,,
2018-02,2021-08,Greensboro Science Center,,volunteering,"Greensboro, NC",,,,
2020-01,2020-03,Floge Marine Microbial Ecology Lab,Floge Lab,volunteering,"Winston-Salem, NC",,,,
2021-12,2024-01,Pacific Manta Research Group (PMRG),Pacific Manta Research Group,volunteering,,,,,
2023-03,2024-05,Santa Barbara Coastal Long Term Ecological Research (SBC LTER),Santa Barbara Coastal LTER,volunteering,UCSB,,,,
2025-12,,First-authored paper in Ecology,,publications,Kuris Parasite Ecology Lab (UCSB),,,https://doi.org/10.1002/ecy.70263,View paper
2026-01,,Co-authored paper in Scientific Data,,publications,Kuris Parasite Ecology Lab (UCSB),,,https://doi.org/10.1038/s41597-026-07259-3,View paper
2022-04,,"Ecology, Evolution, and Marine Biology (EEMB) Undergraduate Research Symposium",EEMB Research Symposium,publications,UCSB,Conference presentation,,,
2023-08,,"Ecological Society of America (ESA), 108th Annual Meeting",ESA Annual Meeting,publications,Ecological Society of America,Conference presentation,,,
2021-09,,Regent Scholar,,awards,UCSB,,,,
2021-11,,"Honorable Mention, Best Poster",,awards,Western Society of Naturalists (WSN),,,,
2022-07,,Best Student Presentation,,awards,International Conference on Copepoda (ICOC),,,,
2023-05,,Best Student Presentation,,awards,Southern Academy of Parasitologists (SAP),,,,
2022-06,2024-03,Coastal Fund Major Grant,,awards,UCSB,Grant,,,
2024-06,2026-06,Coastal Fund Major Grant,,awards,UCSB,Grant,,,
